,Customer_Name,REVIEW_TITLE,Color,REVIEW_DATE,COMMENTS,RATINGS,comments_prep,review_prep,char_counts,word_counts,sent_counts,avg_word_len,avg_sent_len,char_counts_rev,word_counts_rev,sent_counts_rev,avg_word_len_rev,avg_sent_len_rev,anonymous_customer,RATINGS_SENTIMENT
0,Ramdika,Really Exceed my expectation.,Black,30-May-21,"Okay.. I was skeptical at first to buy this as i was tight at my budget , but to be honest this little product really exceed my expectation. If you are really tight on budget just go for this one.Ps for Redmi phone user , go to setting sound effect and user equilizer and play around with sound enhancer to get the best sound result.",5,okay skeptical buy tight budget  honest little product exceed expectation tight budget oneps redmi phone user  setting sound effect user equilizer play sound enhancer best sound result,exceed expectation,333,65,3,4.138461538461539,21.666666666666668,29,4,1,6.5,4.0,True,positive
1,Sachin AK,Great for a change from inear buds,Black,01-Jun-21,The earphone is worth what you pay for. The design of the earbud may cause pain after prolonged usage. In that case basshead 103 is good.In terms of sound this is way more advanced than basshead 103. Bass is also increased.Quality wise i would preferred the nylone wrapping of even the two small cable would have been better. Since most of the time those cable gets damaged.,5,earphone worth pay for design earbud cause pain prolonged usage case basshead 103 goodin terms sound way advanced basshead 103 bass increasedquality wise preferred nylone wrapping small cable better time cable gets damaged,great change inear buds,374,67,5,4.597014925373134,13.4,34,7,1,4.0,7.0,True,positive
2,Manikandan Raj,For people with sensitive ears,Black,05-Sep-21,"Particularly for people with sensitive ears, who gets ear pain when wearing those in ear buds kind of headsets, this one is a great choice. It doesn't block air flow into ear, so it is good for ear drum as well.",4,particularly people sensitive ears gets ear pain wearing ear buds kind headsets great choice doesnt block air flow ear good ear drum well,people sensitive ears,211,41,2,4.170731707317073,20.5,30,5,1,5.2,5.0,True,positive
3,Reviewguy,I tested it for a week and here's a detailed review,Iguana,11-Sep-21,"Built Quality 6.5 10The lower wire is a durable nylon that is as you know, tough but the middle part where the mic and the single button itself lies feels cheap, including the earpiece, the plastic used don't feel or look that good but the wire length is good though. Probably 1.2 1.3m.Comfort 7 10Feels decently good for people who don't like rubber tipped earphones, the fit is good and is comfortable in your ears, nothing much to talk about hereSound Quality 7 10The max volume is quite loud pretty loud, that's a plus point. The treble is crisp and the bass is decently strong, works well in Xiaomi Redmi phones which have options for earphones selection for different sound quality preferenceMic 6 10The mic is not the best, it just gets the job done. It picks up noise when you are speaking to someone on the phone while using this and walking at the same time doing some physical activity. While playing games like BGMI Call of Duty, the mic worked good with no issues but on calls, it wasn't just as good.Price to performance ratio 6.5 10This product is for people who wants a decent in Ear Wired Headset Without rubber tips and not for people who are into the rubber tipped ones. If you use rubber tipped earphones and wanna get a good one under 500 rupees, get either of these two 1.BoAt Bassheads 100 Cheaper but great for the price 2. Realme Buds 2 Good sound and built quality an additional rubber band for easy storage",4,built quality 65 10the lower wire durable nylon know tough middle mic single button lies feels cheap including earpiece plastic dont feel look good wire length good though probably 12 13mcomfort 7 10feels decently good people dont like rubber tipped earphones fit good comfortable ears talk heresound quality 7 10the max volume loud pretty loud thats plus point treble crisp bass decently strong works xiaomi redmi phones options earphones selection different sound quality preferencemic 6 10the mic best gets job done picks noise speaking phone walking time physical activity playing games like bgmi duty mic worked good issues calls wasnt goodprice performance ratio 65 10this product people wants decent ear wired headset rubber tips people rubber tipped ones use rubber tipped earphones wanna good 500 rupees 1boat bassheads 100 cheaper great price 2 realme buds 2 good sound built quality additional rubber band easy storage,tested week heres detailed review,1433,260,7,4.515384615384615,37.142857142857146,51,11,1,3.727272727272727,11.0,True,positive
4,Sridhar Sarkar,Not a good headphone,Iguana,26-Jun-21,"Don't go with the over all 4 start rating. This boat brand endorse lot of money through marketing and you can see on the front pack of the headphones it must be Karthik aryaan Neha Kakkar hardik or Kl Rahul and you might think oh wow what a great product. And eventually you will also buy. But you know what, this product is not good at all. Don't go this over all rating.Voice is so suppressing that you won't be able to enjoy the music properly. Though, it looks very classy and pretty. Tangled free wire which is plus point. It does not have good bass at all. Rs. 150 oppo Vivo headphones are also better than this. Note This product is non returnable.",2,dont 4 start rating boat brand endorse lot money marketing pack headphones karthik aryaan neha kakkar hardik kl rahul think oh wow great product eventually buy know what product good all dont ratingvoice suppressing wont able enjoy music properly though looks classy pretty tangled free wire plus point good bass all rs 150 oppo vivo headphones better this note product non returnable,good headphone,655,124,11,4.290322580645161,11.272727272727273,20,4,1,4.25,4.0,True,negative
5,gurvinder singh,Faulty earphones. Volume drop issue,Spirit Lime,05-Sep-21,"Please believe me, Volume of my phone automatically gets down when earphones are plugged in. Youtube play pause, next previous video buttons wont go away when earphones are plugged in. This is very annoying. I cant even watch a 5 mins video peacefully. I have to raise volume again and again. Mic quality is very normal. Boat is lying about the crystal clear sound. You can get the same voice quality in 100 150rs local earphones. My 450rs got totally wasted. I bought boat for the first time. Never buying boat again. They are just overated and make faulty products.",1,believe me volume phone automatically gets earphones plugged in youtube play pause previous video buttons wont away earphones plugged in annoying cant watch 5 mins video peacefully raise volume again mic quality normal boat lying crystal clear sound voice quality 100 150rs local earphones 450rs got totally wasted bought boat time buying boat again overated faulty products,faulty earphones volume drop issue,567,100,12,4.68,8.333333333333334,35,5,2,6.2,2.5,True,negative
6,Sumit Chaurasiya,More than expected,Black,29-Jun-21,"I am not very keen of music listening, so can't comment how good music it produce. My purpose of using this is fully focused on call. It is doing a great work, more than expected. People on other side able to here me correctly. Sound produce by it is loud enough to here correctly. There is no noise cauae by this headphone. Previously I used jbl and phillips, they are not only castly than this but their durability is also questionable. This one is fully justifying its price.This one did not came with tagle free, but wire is textured which make it easier to untangle.",4,keen music listening cant comment good music produce purpose fully focused call great work expected people able correctly sound produce loud correctly noise cauae headphone previously jbl phillips castly durability questionable fully justifying pricethis came tagle free wire textured easier untangle,expected,571,105,8,4.447619047619048,13.125,18,3,1,5.333333333333333,3.0,True,positive
7,blessy,Will damage your ears,White,28-Sep-21,"This product has caused me so much of damage that I had to write a review. Here is the thing. It is cheap and it works well with calls. I also wanted an alternative to in ear buds that are available in the market. Hence, I bought it. Honestly, it has been a month and the earphone is working fine. However, I don't know what kind of a design boat is bragging of. First of all using this earphone just for a few days has made my ears a little swollen. Also, it doesn't fit well. It will either fall off or it will hurt. If you lie down and use this expect it to fall off. If you sit down and use this expect it to give you some minor cuts. Why even buy this if you cannot use it properly Volume buttons are not there. I thought I could do without it but the truth was later on I needed it. My suggestion is that if you want to buy a cheap product try out other brands in the same price range, buy the 50 rupee or 100 rupee one from small retailers or simply shell more money and get a better deal. Finally, thank you boat for this terrible experience . I will never buy another product of yours unless I have no choice and will never compromise on quality over money.",1,product caused damage write review thing cheap works calls wanted alternative ear buds available market hence bought it honestly month earphone working fine however dont know kind design boat bragging of earphone days ears little swollen also doesnt fit well fall hurt lie use expect fall off sit use expect minor cuts buy use properly volume buttons there thought truth later needed it suggestion want buy cheap product try brands price range buy 50 rupee 100 rupee small retailers simply shell money better deal finally thank boat terrible experience  buy product choice compromise quality money,damage ears,1166,235,17,3.9659574468085106,13.823529411764707,21,4,1,4.5,4.0,True,negative
8,Amazon Customer,"Don't buy, Not good",Iguana,27-Jul-21,"One side stopped working within 20 days of buying, now they are asking to go to service center for replacement which is 30 km away from my house, so ultimately I need to spend more amount as taxi fare then the product cost to get it replaced.No response so far even after sending the mail 10 days ago.I trusted the brand but they are also following the same path now where they don't care about selling the product.",1,stopped working 20 days buying asking service center replacement 30 km away house ultimately need spend taxi fare product cost replacedno response far sending mail 10 days agoi trusted brand following path dont care selling product,dont buy good,415,78,1,4.333333333333333,78.0,19,4,1,4.0,4.0,False,negative
9,Hameed bin abbas,BOAT IS ALWAYS BEST,Black,15-Jun-21,"Best headset ever I used in my life, genuin product, good condition, reasonable price, value for money. And thanks to Amazon for a perfect delivery feature.",5,best headset life genuin product good condition reasonable price value money thanks amazon perfect delivery feature,boat best,156,26,2,5.038461538461538,13.0,19,4,1,4.0,4.0,True,positive
